Fecha,RIN_Millones_USD,Tipo_Cambio_PEN,IPC_Indice,PBI_Mensual_Indice,Exportaciones_MM,M2_Soles_MM
2008-08-01,34917.0,2.89230952380952,0.590485120627808,108.889993837838,2875.17284660504,118728.794953
2008-09-01,34702.0,2.96584090909091,0.567201348170299,110.740740648059,2616.26368564698,113090.510251
2008-10-01,31933.0,3.07515909090909,0.613128730631335,111.655298051568,2294.75981985183,103457.433645
2008-11-01,30970.0,3.09188888888889,0.309023518807206,110.667087487058,2067.22837630408,105913.423027
2008-12-01,31196.0,3.113775,0.360223443699306,117.475087662226,1964.28765075929,109357.855689
2009-01-01,30098.0,3.151125,0.105779087549192,102.957858945992,1630.56867732974,107539.436619
2009-02-01,29412.0,3.236125,-0.0747867011977923,101.033706712377,1815.17321684981,107985.035102
2009-03-01,30929.0,3.17477272727273,0.360219096293319,107.152725896407,1962.6616588907,111311.365558
2009-04-01,31079.0,3.085025,0.0190113387638141,108.852131263431,1789.22530662102,112872.738109
2009-05-01,31189.0,2.99405,-0.0430059879071317,114.233023556975,2154.83629892747,117452.548931
2009-06-01,30790.0,2.99047619047619,-0.339576397635527,108.973271232088,2192.33686169228,119029.060065
2009-07-01,32089.0,3.0125,0.186688283246876,110.739303018834,2344.94815633827,123573.11026
2009-08-01,31955.0,2.95054761904762,-0.207404080346908,109.854091268811,2332.32615127421,125104.676709
2009-09-01,32130.0,2.90965909090909,-0.0871865178354843,111.004716399796,2519.38315123471,129497.233331
2009-10-01,32920.0,2.871775,0.122626055714729,113.066652069329,2579.05101682198,131251.464001
2009-11-01,33428.0,2.8845,-0.112067511656828,113.616686008139,2718.73670132296,135068.392689
2009-12-01,33135.0,2.87747368421053,0.317106553518078,122.384670293062,3031.2724283119,138949.152986
2010-01-01,34342.0,2.85645,0.295916358843193,106.345679114289,2438.84332063552,137428.53122
2010-02-01,35010.0,2.853975,0.322508087876127,106.362647585621,2649.19096796292,139216.329727
2010-03-01,35269.0,2.83928260869565,0.280812098247149,116.027134757269,2817.37754841472,145206.833397
2010-04-01,35049.0,2.83985,0.0253574343372818,117.640830915308,2671.19429524537,146671.725765
2010-05-01,34610.0,2.8455,0.237859799840972,122.901051042337,2391.15268571967,145963.095472
2010-06-01,35341.0,2.83805,0.25084872902545,122.971410886408,3153.32147967942,146627.785512
2010-07-01,38635.0,2.82281578947368,0.363955387679499,121.69299558714,3035.35938543217,151850.596371
2010-08-01,40204.0,2.80202380952381,0.268515340301766,119.371742090072,3035.64919481877,156261.809919
2010-09-01,42464.0,2.79063636363636,-0.0320081184717505,122.065933562733,3311.48441406788,161377.462973
2010-10-01,42956.0,2.791475,-0.141721635707217,123.580262832309,3170.40761470773,166917.632618
2010-11-01,44104.0,2.80559523809524,0.00790540581414174,123.47507155592,3356.1006216356,170183.828916
2010-12-01,44105.0,2.815675,0.178465894473198,131.699985124187,3772.99928594188,178157.503082
2011-01-01,44511.0,2.78704761904762,0.390436430112132,116.517916397049,2964.11672880467,174891.25785
2011-02-01,46268.0,2.770525,0.38232131500092,114.933169579706,3377.97599887031,175935.540597
2011-03-01,46127.0,2.77939130434783,0.70246827579307,124.944194176603,3751.35085343995,177023.986819
2011-04-01,46512.0,2.81563157894737,0.680913006312609,126.37640949879,3417.51235437961,173285.38748
2011-05-01,46307.0,2.77495238095238,-0.023705939231349,129.712104313557,4105.47257107914,174722.269468
2011-06-01,47152.0,2.76407142857143,0.0991430632533504,126.637227154736,4204.12767426261,172094.432631
2011-07-01,47674.0,2.74131578947368,0.792952335352793,129.073761607809,4194.85467642664,179089.168806
2011-08-01,48515.0,2.73938095238095,0.26581819673157,127.10799598781,4554.91633885974,179909.047819
2011-09-01,48068.0,2.74384090909091,0.334184450724357,128.052954564443,3977.81945253304,174546.372764
2011-10-01,48696.0,2.731825,0.314850475426423,129.087636787493,3935.99681703288,179923.471814
2011-11-01,49050.0,2.70495238095238,0.431423021984299,129.330567754272,3352.28419954393,181021.02403
2011-12-01,48816.0,2.69626315789474,0.270908693685631,143.114319356977,4539.53388864688,186699.033667
2012-01-01,50830.0,2.69265909090909,-0.101321658058542,122.869817363909,4028.58368813469,192657.426383
2012-02-01,53315.0,2.68352380952381,0.32490889268749,123.041226818478,3825.90513487988,196969.868385
2012-03-01,55789.0,2.671,0.766016269027565,132.262219035612,4166.01108943334,200835.01811
2012-04-01,57490.0,2.65702777777778,0.531540157871349,130.416861633642,3226.98162987307,203217.273484
2012-05-01,56882.0,2.66927272727273,0.03926077503556,138.684278836536,3718.26577956045,202632.556513
2012-06-01,57225.0,2.670575,-0.0366953058830012,136.180943061944,3871.23149881286,203834.77672
2012-07-01,57980.0,2.63504761904762,0.0903588612568951,138.434981196796,4084.63569462867,205076.629869
2012-08-01,59771.0,2.61597619047619,0.508401059841231,136.084157974641,3989.39101640359,207717.544534
2012-09-01,61161.0,2.6028,0.542706494983504,136.690892565286,4185.80427256594,212877.18824
2012-10-01,61904.0,2.5876,-0.163323292399981,138.661370714442,4083.66297860853,216771.13162
2012-11-01,63216.0,2.598625,-0.137468673524668,137.170166822392,4031.40500119191,220904.702534
2012-12-01,63991.0,2.56688888888889,0.258775005035199,148.016232864322,4199.61929888955,229100.772696
2013-01-01,67016.0,2.55190909090909,0.115417675695559,130.801507808408,3493.22012782075,233063.537814
2013-02-01,67629.0,2.57805263157895,-0.0899999999999897,129.299257417894,3260.83179481964,236727.609988
2013-03-01,67918.0,2.59394736842105,0.908826029924648,136.899609937701,3753.81612438875,238369.965129
2013-04-01,68255.0,2.5975,0.252386434513867,141.920592876079,3229.15180421031,238941.275364
2013-05-01,66765.0,2.64438636363636,0.193585595743532,144.596297825678,3546.51947165906,237705.728137
2013-06-01,66683.0,2.7475,0.261797703601153,144.154120183782,3344.66959313249,234434.893031
2013-07-01,67615.0,2.77671428571429,0.548478702276045,145.788055176374,3444.57862793262,238330.824332
2013-08-01,66635.0,2.8017380952381,0.54290503863184,143.576221673223,4197.09078067312,235643.588958
2013-09-01,66729.0,2.77857142857143,0.108780375955996,143.338430970754,3634.15859810401,234925.945499
2013-10-01,66391.0,2.76911904761905,0.0382722950763035,147.270241042761,3674.13371666261,238226.266427
2013-11-01,66279.0,2.798125,-0.218243304450852,147.159551676505,3421.50822747067,239617.04368
2013-12-01,65663.0,2.78525,0.165817500674368,158.426154435841,3863.67519031544,247426.608931
2014-01-01,65074.0,2.80893181818182,0.316846515378193,136.331425314793,3168.73737961378,244555.036565
2014-02-01,65177.0,2.81265,0.60083869624388,136.032829640234,3310.17750063419,246736.394746
2014-03-01,64954.0,2.80638095238095,0.518558879929413,144.308469916617,3284.66082147652,247497.959466
2014-04-01,64729.0,2.794375,0.393222043698289,146.068668319154,3126.00347042074,248756.487973
2014-05-01,64629.0,2.78697619047619,0.225030490782512,148.341446780911,3126.15387258004,250683.925167
2014-06-01,64581.0,2.79423809523809,0.159177501068276,144.698777957383,3256.83256843319,253805.29792
2014-07-01,65536.0,2.78609523809524,0.433312575620032,147.90153731913,3376.37481481072,258456.406438
2014-08-01,64850.0,2.81447619047619,-0.0856196342018747,145.51901942331,3620.27652120805,262296.349531
2014-09-01,64453.0,2.86395454545455,0.160502508704002,147.17026961268,3368.69524481999,261875.712766
2014-10-01,63530.0,2.90604545454545,0.378858336021168,150.618851994871,3362.45254366299,264533.080385
